part_no,product_permalink
BH.96000.0,https://keypak.tbkdev.com/product/airwave-bio-pillow-type-7-1-4-x-8-x-3300/
BH.96001.0,https://keypak.tbkdev.com/product/airwave-bio-pillow-type-7-3-8-x-8-x-3300/
BH.96002.0,https://keypak.tbkdev.com/product/airwave-bio-pillow-type-7-5-10-x-11-x-3300/
BH.96004.0,https://keypak.tbkdev.com/product/airwave-pillow-type-7-3-heavy-8-x-8-x-4250/
BH.96005.0,https://keypak.tbkdev.com/product/airwave-pillow-type-7-5-heavy-10-x-11-x-4250/
BH.96006.0,https://keypak.tbkdev.com/product/jumbo-roll-holder/
BH.97140.0,https://keypak.tbkdev.com/product/airboy-nano4-machine/
BH.97150.9,https://keypak.tbkdev.com/product/airwave-1-air-cushion-machine-4-0/
BH.97160.9,https://keypak.tbkdev.com/product/airwave-2-air-cushion-machine-high-performance/
BH.97170.9,https://keypak.tbkdev.com/product/airwave-pillow-type-7-1-4-x-8-x-2300/
BH.97180.9,https://keypak.tbkdev.com/product/airwave-pillow-type-7-1-8-x-8-x-2300/
BH.97183.0,https://keypak.tbkdev.com/product/airwave-pillow-type-8-3-32-x-1600/
BH.97190.9,https://keypak.tbkdev.com/product/airwave-pillow-type-7-1-heavy-4-x-8-x-1650/
BH.97191.9,https://keypak.tbkdev.com/product/airwave-cushion-type-8-3-16-5-x-6-x-1500/
BH.97192.9,https://keypak.tbkdev.com/product/airwave-cushion-type-8-3-heavy-16-5-x-1000/
BH.97193.9,https://keypak.tbkdev.com/product/air-pillows-16-5-x-1500/
BH.97194.9,https://keypak.tbkdev.com/product/airboy-nano3-machine-no-film/
BH.97195.9,https://keypak.tbkdev.com/product/airboy-nano3-standard-machine-starter-kit/
BH.97197.9,https://keypak.tbkdev.com/product/airwave-film-type-9-7-1-4-x-8-x-1150/
BH.97198.9,https://keypak.tbkdev.com/product/airwave-cushion-film-type-9-8-3-16-x-740/
BH.97210.9,https://keypak.tbkdev.com/product/airwave-jumbo-pillow-ez-tear-type-7-1-4-x-8-x-6600/
BH.97220.9,https://keypak.tbkdev.com/product/airwave-jumbo-pillow-ez-tear-type-7-3-8-x-8-x-6600/
BH.97225.0,https://keypak.tbkdev.com/product/airwave-heavy-duty-bubble-type-8-4-perf-12-5-16-5-x-1000/
BH.97230.9,https://keypak.tbkdev.com/product/airwave-jumbo-eco-film-type-7-1-4-x-8-x-8200/
BH.97261.7,https://keypak.tbkdev.com/product/airwave-paperwave-pillow-type-7-1-4-x-8-x-990/
BH.97262.7,https://keypak.tbkdev.com/product/airwaver-paperwave-pillow-type-7-2-6-x-8-x-1000/
BH.97263.7,https://keypak.tbkdev.com/product/airwave-paperwave-pillow-type-7-3-8-x-8-x-990/
BH.97270.9,https://keypak.tbkdev.com/product/airwave-heavy-duty-large-bubble-chamber-polywave-perf-6-16-x-6-x-1000/
BH.97288.0,https://keypak.tbkdev.com/product/airwave-paperwave-film-type-9-7-1-4-x-8-x-459/
BH.97289.0,https://keypak.tbkdev.com/product/airwave-paperwave-cushion-type-8-3-16-5-x-325/
BH.97403.0,https://keypak.tbkdev.com/product/airwave-pillow-type-7-2-6-x-8x-2300/
BH.97501.0,https://keypak.tbkdev.com/product/airwave-pillow-8-x-15-x-2300/
BL.32000.9,https://keypak.tbkdev.com/product/loose-fill-biodegradable-peanuts-20cu/
BM.10110.0,https://keypak.tbkdev.com/product/5-1-8-x-5-1-8-mailer-with-self-seal-strip-5-125-x-5-125/
BM.10790.0,https://keypak.tbkdev.com/product/mailer-with-self-seal-strip-7-x-9/
BM.10911.0,https://keypak.tbkdev.com/product/mailer-with-self-seal-strip-9-x-11-5/
BM.10912.0,https://keypak.tbkdev.com/product/mailer-with-self-seal-strip-9-75-x-12-25/
BM.11215.0,https://keypak.tbkdev.com/product/mailer-with-self-seal-strip-12-75-x-15/
BP.00011.9,https://keypak.tbkdev.com/product/eps-foam-sheet-96-x-24-x-1/
BP.00012.9,https://keypak.tbkdev.com/product/eps-foam-sheet-96-x-24-x-1-5/
BP.00662.9,https://keypak.tbkdev.com/product/eps-foam-sheet-96-x-24-x-0-5/
BP.12540.0,https://keypak.tbkdev.com/product/polyfoam-slit-12-perf-12-1-8-x-48-x-550/
